did,handle,displayName,avatar,followedDt,lastPostUri,lastPostDt,followsBack
did:plc:yfm343vx54uk2eibrscsjc64,godkingchorgus.bsky.social,𝚌𝚑𝚘𝚛𝚐𝚞𝚜,https://av-cdn.bsky.app/img/avatar/plain/did:plc:yfm343vx54uk2eibrscsjc64/bafkreig4rl6hlp3ovgh6z6f7nmxppd35kpctv4hftd6prygjdtnupaiede@jpeg,5/29/2023,at://did:plc:yfm343vx54uk2eibrscsjc64/app.bsky.feed.post/3k65q2tppry25,8/30/2023,1
did:plc:6lb5qqpuad746wi67f6gscjn,clamburgerparty.bsky.social,Boob Burger ( . Y . ) 🍔,https://av-cdn.bsky.app/img/avatar/plain/did:plc:6lb5qqpuad746wi67f6gscjn/bafkreigjkn2htwwimg37y5z4s4j3ntywadwernsylbgazreocdopiypi3i@jpeg,5/29/2023,at://did:plc:6lb5qqpuad746wi67f6gscjn/app.bsky.feed.post/3k65mlwhp5t2b,8/30/2023,1
did:plc:dj4uzv6bze45eaxdwfipdfp5,firagawalkwthme.bsky.social,Firaga Walk With Me,https://av-cdn.bsky.app/img/avatar/plain/did:plc:dj4uzv6bze45eaxdwfipdfp5/bafkreifa5evqxi367gcjam2g4ruwbr42ayr433xxmq7aq5nlrck6y6ulsu@jpeg,5/29/2023,at://did:plc:nvcq6r3nctivcg2rf3vsf4gp/app.bsky.feed.post/3k3sdwigpdp2b,7/31/2023,1
did:plc:7i2gjth3pukrilqxpzbbxisu,mishmei.bsky.social,MishMei,https://av-cdn.bsky.app/img/avatar/plain/did:plc:7i2gjth3pukrilqxpzbbxisu/bafkreig52csru2nqrnjyaoeqfqei4qfswkagim7usgnauvneuvxfsxorau@jpeg,5/29/2023,at://did:plc:7i2gjth3pukrilqxpzbbxisu/app.bsky.feed.post/3k65q3x3xaa2z,8/30/2023,1
did:plc:zydgjqemjfmpsqhapszqqsuw,lontar.bsky.social,Lontar,https://av-cdn.bsky.app/img/avatar/plain/did:plc:zydgjqemjfmpsqhapszqqsuw/bafkreiebmj2h22tskencvzzbmviqw2pxtarmmtiubikiosnnhdbekotoyi@jpeg,5/25/2023,at://did:plc:zydgjqemjfmpsqhapszqqsuw/app.bsky.feed.post/3k5n7vmja5q2s,8/23/2023,1
did:plc:tw357ar6qnt524rqsj6lx5eo,hottiepants.bsky.social,,https://av-cdn.bsky.app/img/avatar/plain/did:plc:tw357ar6qnt524rqsj6lx5eo/bafkreia3nddtnegsq2rui5bk3evncporwmj3soxc35soa2fsxzdmspnyby@jpeg,5/22/2023,at://did:plc:tw357ar6qnt524rqsj6lx5eo/app.bsky.feed.post/3k3iizxfojp2z,7/27/2023,1
did:plc:gxgvfg7vytks3ptxjnnsjo4v,dopeymcgeee.bsky.social,rye,https://av-cdn.bsky.app/img/avatar/plain/did:plc:gxgvfg7vytks3ptxjnnsjo4v/bafkreickmdcvvpjdjnq57ykdz6rettfne4ztdhk3mvosmuaziwz76uuwlq@jpeg,5/22/2023,at://did:plc:a4wzpl7hpxvvntj6hatvuhlw/app.bsky.feed.post/3k4z224wde22j,8/15/2023,1
did:plc:pp75d5hgiueryvekuqritvdj,slurpman.bsky.social,slurpberg,https://av-cdn.bsky.app/img/avatar/plain/did:plc:pp75d5hgiueryvekuqritvdj/bafkreiccbzkat2ija2xmzmamz3uxxqdh2eh7jmrtoftuseh4o5xd3mbtoe@jpeg,5/19/2023,at://did:plc:pp75d5hgiueryvekuqritvdj/app.bsky.feed.post/3k65n2txbgr2s,8/30/2023,1
did:plc:hd7fnd3akye2xmhj2afktbpy,kateaveryart.bsky.social,Kate Avery,https://av-cdn.bsky.app/img/avatar/plain/did:plc:hd7fnd3akye2xmhj2afktbpy/bafkreihvjjznf7ekoxsjo4nhz4nf2hgi3tena6ree4hxy7xxht7rrwgzfa@jpeg,5/18/2023,at://did:plc:hd7fnd3akye2xmhj2afktbpy/app.bsky.feed.post/3k656m6agmg2t,8/29/2023,1
did:plc:ys4tjh3zekwefuvu43ecr6mt,harryc.bsky.social,harry 🫧🧬,https://av-cdn.bsky.app/img/avatar/plain/did:plc:ys4tjh3zekwefuvu43ecr6mt/bafkreid6jlztw4usqczerrv2hiqsdhn4yjwiedi4mqyfmzzyrfqi6u3u34@jpeg,5/18/2023,at://did:plc:ys4tjh3zekwefuvu43ecr6mt/app.bsky.feed.post/3k64mkhokbt2u,8/29/2023,1
did:plc:vapkygnsdjhqk2gvpdzw2rob,hestisiod.bsky.social,Hestia 🪿,https://av-cdn.bsky.app/img/avatar/plain/did:plc:vapkygnsdjhqk2gvpdzw2rob/bafkreicwuft6bsmmzzk6butpyxrwz3kv3q562e23dr3aiy57ybstmqmqqe@jpeg,5/17/2023,at://did:plc:vapkygnsdjhqk2gvpdzw2rob/app.bsky.feed.post/3k63hqajnox2r,8/29/2023,1
